ID	SPA	SPA
476	Esa marca es excelente.	ESA MARCA EXCELENTE
707	El gobernador apoyó la construcción de una escuela para alumnos sordos.	ESCUELA PARA ALUMNO SORDO CONSTRUCCIÓN GOBERNADOR YA APOYAR
443	Javier es mi concuño.	dm-JAVIER MI CONCUÑO
665	Yo compré una camisa elegante.	CAMISA ELEGANTE YO YA COMPRAR
661	El bikini es azul.	BIKINI COLOR AZUL
115	Debemos comparar antes de elegir.	ANTES ELEGIR NOSOTROS COMPARAR DEBER
59	Ángela le gusta el ballet desde niña	NIÑO+MUJER BALLET dm-ÁNGELA GUSTAR
582	El joven es hábil en el kayak.	KAYAK JOVEN HÁBIL
447	Mi consuegro horneó un pastel.	PASTEL MI CONSUEGRO YA HORNEAR
960	Las personas sordas alaban a San Judas.	SAN-JUDAS PERSONA SORDA ALABAR
30	Ana es muy amable.	dm-ANA AMABLE
794	Necesito un taladro para poder arreglarlo.	TALADRO YO NECESITAR PARA PODER ARREGLAR
126	Es muy difícil convencer a mi maestra.	MI MAESTRO+MUJER CONVENCER MUCHO DIFÍCIL
654	En Tepito hay muchos asaltos.	TEPITO MUCHO ASALTO HAY
25	¡Aléjate! Estoy enojada.	¡ALEJAR! YO ENOJADO+MUJER
327	Mi cuñada tiene su cabello chino.	MI CUÑADO+MUJER CABELLO CHINO
169	Me pegué en la frente.	FRENTE YO YA PEGAR
2	Muy bien, ¿qué onda?	BIEN ¿QUÉ ONDA?
921	Mi madrina hierve frijoles diario.	DIARIO FRIJOL MI PADRINO+MUJER HERVIR
957	Tú siempre dices pretextos.	DIARIO PRETEXTO TÚ DECIR
209	Mi casa es la número 10.	MI CASA NÚMERO 10
709	Espero que goce en las manos de Dios.	DIOS MANOS ÉL GOZAR YO ESPERAR
444	¿Te casarías conmigo?	¿TÚ YO CASAR? SÍ NO
677	Ya me di cuenta de que eres necio.	TÚ NECIO YO YA DAR-CUENTA
792	Muchos jóvenes se suicidan últimamente, eso es muy raro.	ÚLTIMAMENTE MUCHOS JOVEN SUICIDAR ESO RARO
350	Mi abuelo tiene 90 años.	MI ABUELO 90 EDAD
158	Rocío ya entró al museo.	MUSEO dm-ROCÍO YA ENTRAR
705	La biblia dice: “Gloria a Dios”	BIBLIA DECIR DIOS GLORIA
384	Ayer leí el Apocalipsis de la Biblia.	AYER BIBLIA APOCALIPSIS YO LEER
442	Quiero comer arroz con huevo.	ARROZ CON HUEVO YO COMER QUERER
324	En el rancho de mi tía, diario ordeñan a las vacas.	DIARIO MI TÍO+MUJER RANCHO VACA ORDEÑAR
930	Luis no hace caso a los consejos de su abuela.	SU ABUELO+MUJER CONSEJO dm-LUIS NO-HACER-CASO
345	De aquí a Tijuana me hago 8 horas.	AQUÍ TIJUANA 8 HORA YO HACER
886	¡Qué chido está tu carro!	¡TUYO CARRO MUCHO CHIDO!
130	En Corea del Sur hay mucho pescado.	COREA SUR MUCHO PESCADO HAY
753	El sábado habrá ofertas en Liverpool.	SÁBADO LIVERPOOL OFERTAS HABER FUTURO
196	Compré una camisa moderna.	CAMISA MODERNA YO YA COMPRAR
831	Mi tío fue candidato a gobernador de Chihuahua.	CHIHUAHUA MI TÍO GOBERNADOR CANDIDATO YA
317	Ten cuidado, discriminar está prohibido.	CUIDAR DISCRIMINAR PROHIBIDO
147	Mañana empieza mi dieta.	MAÑANA MI DIETA EMPEZAR
775	¡Es imposible, vi un ovni!	¡IMPOSIBLE, #OVNI YO YA VER!
830	Nosotros iremos a Cancún el próximo año.	PRÓXIMO AÑO CANCÚN NOSOTROS IR
767	En la República Mexicana hay 31 estados.	REPÚBLICA-MEXICANA 31 ESTADO HAY
882	Mi maestro me enseña LSM	LSM YO MI MAESTRO ENSEÑAR
818	La cacerola está pesada.	CACEROLA PESADA
949	Mi papá compra su café en Oxxo diariamente.	DIARIO OXXO SU CAFÉ MI PAPÁ COMPRAR
865	Mi abuelo pertenece a la congregación de los Testigos de Jehová.	TESTIGOS-DE-JEHOVÁ CONGREGACIÓN MI ABUELO PERTENECER
642	El hombre torturaba a los animales.	ANIMAL HOMBRE TORTURAR
704	Todos los días voy al gimnasio.	DIARIO GIMNASIO YO IR
887	¿Cuántos hijos tienes?	HIJO TÚ TENER ¿CUÁNTOS?
79	Bienvenido a mi casa	MI CASA BIENVENIDO
96	La capital de Argentina es Buenos Aires.	ARGENTINA CAPITAL BUENOS-AIRES
737	Tú ya aprendiste la lección.	LECCIÓN TÚ YA APRENDER
172	Los genitales de la mujer son diferentes a los del hombre.	MUJER GENITALES HOMBRE GENITALES DIFERENTE DIFERENTE
959	No puedo salir a jugar hoy.	HOY YO SALIR JUGAR NO-PODER
641	Jugando David y yo nos dimos un tope ayer.	AYER JUGAR DOS-DE-NOSOTROS YA TOPE
128	Él tenía dudas, pero le expliqué y lo convencí.	DUDAS ÉL YA TENER PERO ÉL YO YA EXPLICAR CONVENCER
752	Compré un litro de leche.	LITRO LECHE YO YA COMPRAR
740	Yo estoy aprendiendo lengua de señas.	LENGUA-DE-SEÑAS YO APRENDER
915	Mi papá tiene dos direcciones.	DOS DIRECCIÓN MI PAPÁ TENER
421	Ese anillo tiene un brillante muy caro.	BRILLANTE MUCHO CARO ESE ANILLO TENER
448	Hoy todos iremos al parque contigo.	HOY PARQUE TODOS TÚ IR FUTURO
429	Panamá está en Centroamérica.	CENTROAMÉRICA ADENTRO PANAMÁ
268	Eso no me gusta, me da asco.	ESO YO NO-GUSTAR ASCO
776	Ya pagué completamente por mi carro.	MI CARRO YO YA PAGAR COMPLETAMENTE
246	Yo tuve suerte de poderlo agarrar.	YO SUERTE YA PODER AGARRAR
52	Mónica ayunó por tres días.	TRES DÍA dm-MÓNICA YA AYUNAR
455	Mi jefe nos paga a todos en efectivo.	EFECTIVO TODOS NOSOTROS MI JEFE PAGAR
870	Hoy es la convención de sordos.	HOY CONVENCIÓN SORDOS
514	Toca el timbre para que te abran la puerta.	TIMBRE TOCAR PARA PUERTA ABRIR
777	La paloma es blanca.	PALOMA COLOR BLANCO
111	Necesito unas puertas para mi clóset.	PUERTA PARA MI CLÓSET YO NECESITAR
527	Una adolescente se ahorcó.	ADOLESCENTE+MUJER YA AHORCAR
903	Él y yo tenemos una cita, nos vemos allá.	CITA DOS-DE-NOSOTROS TENER ALLÁ VER
35	Él estaba triste ayer, yo lo animé, le compré un helado.	AYER ÉL TRISTE ÉL YO YA ANIMAR HELADO ÉL YO YA COMPRAR
680	Después te cuento qué pasó.	DESPUÉS QUÉ PASAR YO TÚ CONTAR
543	Trae el carrito para echar las cosas.	CARRITO PARA COSA ECHAR TRAER
941	El jefe siempre está en su oficina, nunca sale.	SIEMPRE SU OFICINA JEFE NUNCA SALIR
955	Yo siempre prendo la televisión en la tarde.	TARDE SIEMPRE TELEVISIÓN YO PRENDER
825	Yo compré una cama nueva.	CAMA NUEVA YO YA COMPRAR
814	Compré unos binoculares para ver las estrellas.	BINOCULARES ESTRELLAS VER YO YA COMPRAR
461	Él me dijo estúpido.	YO ESTÚPIDO ÉL YA DECIR
418	Ayer rompí el bastón blanco de mi tío.	AYER MI TÍO BASTÓN COLOR BLANCO YO YA ROMPER
563	El año pasado ese perro engordó mucho.	AÑO-PASADO ESE PERRO MUCHO ENGORDAR
164	Manuel tiene una gran panza.	dm-MANUEL PANZA GRANDE
325	El fin de semana mis primos y yo vimos muchas panteras sueltas en Africam Safari.	FIN-DE-SEMANA AFRICAM-SAFARI MUCHO PANTERA SUELTA MI PRIMO NOSOTROS YA VER
571	El hijo de mi vecina ayer golpeó a su perro.	AYER SU PERRO MI VECINO+MUJER HIJO YA GOLPEAR
621	En mi nuevo trabajo me dieron seguro social para mi atención médica.	NUEVO TRABAJO SEGURO-SOCIAL YO YA DAR PARA MI ATENCIÓN-MÉDICA
70	El bebé duerme todo el día.	DÍA TODO BEBÉ DORMIR
658	La población femenina aumentó en los últimos años.	ÚLTIMOS AÑO POBLACIÓN MUJER AUMENTAR YA
